Algoritmo,Configuracion,Bandgap_Media (Hz),Bandgap_DesvStd (Hz),Bandgap_Max (Hz),Bandgap_Min (Hz),Stress_Media (MPa),Stress_DesvStd (MPa),Stress_Max (MPa),Stress_Min (MPa),Volumen_Media,Tiempo_Media (s)
MpGA,Homogeneo S1,1124.088616205162,312.0005379104957,1556.7705800563467,492.05368201932833,31.884685601818518,39.188874654043175,120.98920249458212,2.6066506867246044,0.4489890625000001,106.59122149944305
MpGA,Homogeneo S2,1099.9513322498403,335.88820923925897,1556.7705800585868,492.0536820452962,33.18280931563562,40.406780584081126,115.37475994422671,2.606650686620249,0.45055000000000006,103.81754074096679
MpGA,Heterogeneo S1+S2,905.9809101877956,337.8947896029783,1556.7705800563467,589.1799549787768,51.290045728732615,57.97289049172453,158.61725731380892,2.606751002503133,0.44898906250000004,83.23684978485107
MpGA,Secuencial S1 (Bottleneck),1098.0506734544883,336.7759006942703,1556.7705800563467,492.05368201932833,35.73669111506915,44.4793716473761,116.67121793107945,2.606650686477191,0.45055000000000006,54.16492404937744
MpGA,Secuencial S2 (Bottleneck),997.3201550141006,302.9232096238766,1513.492155235947,395.33484646309853,43.45417876605775,48.72719800421342,154.58480008770564,2.5478376270675303,0.45055000000000006,90.81449544429779
MS-MBPSO,Homogeneo S1,830.4628506527854,219.21009330313004,1327.5650265014297,450.0862558750449,49.32723155645148,43.87617244335296,136.21348053240928,3.0580835818669443,0.4521109375000001,42.74247961044311
MS-MBPSO,Homogeneo S2,830.4628506381463,219.21009325734542,1327.5650265014299,450.08625630687675,49.32723026401099,43.876169220465606,136.21346211091952,3.0580835820232757,0.4521109375000001,37.96706764698028
MS-MBPSO,Heterogeneo S1+S2,635.1332373075836,292.44251210329946,985.7109023200373,112.2771170242429,44.24657671142385,46.878064145390084,136.21346265347015,2.8890301677073325,0.44742812499999995,0.6431951284408569
MS-MBPSO,Secuencial S1 (Bottleneck),830.4628506989978,219.21009330478432,1327.5650265014297,450.0862558750449,49.32722514480918,43.87616517192192,136.2134623891076,3.0580835819033934,0.4521109375000001,19.924416732788085
MS-MBPSO,Secuencial S2 (Bottleneck),608.5903994059385,256.0240120408517,986.3261821259225,149.93679929867267,53.61064715338934,70.56776781137744,233.48902804039685,3.081917727182608,0.4521109374999999,38.711721777915955
HIBRIDO,Homogeneo S1,981.5631124025491,306.36201282956273,1513.4921553068134,389.3891021109996,40.53179134539273,41.160945119122665,113.23193903792026,2.5478376264864395,0.4552328125000001,78.84009375572205
HIBRIDO,Homogeneo S2,981.5631123547031,306.36201307124,1513.4921553331835,389.38910101484043,40.566052964741445,41.19515529453853,113.23200316451057,2.547837626507856,0.4552328125000001,68.58703444004058
HIBRIDO,Heterogeneo S1+S2,842.1671344780316,258.03025847954154,1250.2362890239294,389.3891021109996,21.58751811666908,22.567378021425373,73.77397182920105,2.0202309517794212,0.45367187500000006,24.904705286026
